current_time,request_id,agent_type,speak_duration,asr_duration,tts_req_duration,total_duration,llm_generation_time,speech_generation_time,llm_client_name
1724041219,361203,Agent1,1.906079,0.08579874,1.293343,1.464624,554.122,720.911,llamafile_llama3
1724041233,675985,Agent1,1.977222,0.08333015,1.226555,1.324371,473.304,743.718,llamafile_llama3
1724041249,887845,Agent1,2.379333,0.08490753,1.683666,1.782688,855.41,817.544,llamafile_llama3
1724041272,229870,Agent1,1.645161,0.08261871,1.210289,1.306824,500.695,706.396,llamafile_llama3
1724041285,197177,Agent1,1.517609,0.08409882,1.392662,1.491135,578.015,797.834,llamafile_llama3
1724041362,577734,Agent2,2.88353,0.08248901,1.419495,1.515976,450.268,957.537,llamafile_llama3
1724041377,29599,Agent2,2.242493,0.08424377,1.279572,1.378265,361.971,907.003,llamafile_llama3
1724041392,315377,Agent2,2.574951,0.08668518,1.305725,1.406342,366.288,926.412,llamafile_llama3
1724041409,735736,Agent2,4.705963,0.08467102,2.143448,2.242905,769.112,1363.223,llamafile_llama3
1724041455,158470,Agent3,1.225891,0.09829712,0.9985504,1.110458,319.162,667.719,llamafile_llama3
1724041472,797347,Agent3,4.036148,0.1132813,0.8931885,1.021576,227.085,646.348,llamafile_llama3
1724041486,606375,Agent3,2.602386,0.08538818,0.946228,1.044128,287.014,648.899,llamafile_llama3
1724041500,531962,Agent3,3.285675,0.08300781,1.126923,1.225647,444.545,669.739,llamafile_llama3
1724041521,515830,Agent3,3.21701,0.09613037,0.9315491,1.041748,272.034,652.555,llamafile_llama3
1724041534,867088,Agent3,1.865997,0.09970093,1.013641,1.12738,352.842,651.673,llamafile_llama3
1724041893,73721,Agent1,1.628733,0.09880733,0.9040813,1.017157,255.89,643.602,llamafile_llama3
1724041916,882392,Agent1,1.685108,0.09633255,1.046129,1.155077,385.211,656.849,llamafile_llama3
1724041932,956843,Agent1,2.212383,0.08412552,1.098137,1.196526,400.194,684.241,llamafile_llama3
1724041950,219559,Agent1,2.979477,0.08276367,1.378654,1.475815,603.818,768.495,llamafile_llama3
1724041979,784516,Agent1,1.517143,0.0850296,1.125862,1.225624,409.749,702.035,llamafile_llama3
1724042183,243310,Agent1,1.352516,0.08255959,1.015525,1.112612,299.031,706.234,llamafile_llama3
1724042200,359890,Agent1,3.215445,0.08680534,1.235449,1.336845,472.153,751.398,llamafile_llama3
